machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
H,299.3,308.89,1588.8,47.04,0,181.3,2.12,140.83,No Failure,0
L,298.31,307.96,1557.3,27.66,34,875.9,1.788,124.74,No Failure,0
H,304.95,316.12,1425.1,46.37,74,1748.2,2.619,148.03,No Failure,0
L,298.67,307.69,1599.4,27.92,62,490.6,1.896,155.4,No Failure,0
M,300.15,310.64,1432.9,45.4,198,941.9,4.145,138.48,No Failure,0
L,300.25,311.2,1359.7,51.0,191,1607.7,3.816,150.98,No Failure,0
L,296.82,307.99,1464.7,43.0,41,358.2,2.266,144.15,No Failure,0
M,298.95,311.12,1614.9,16.74,116,1509.7,1.987,142.96,Power Failure,1
M,300.81,310.17,1707.9,22.18,23,556.5,1.247,157.16,No Failure,0
L,300.17,309.3,1587.6,45.63,240,610.3,3.776,157.66,No Failure,0
H,295.4,306.22,1670.7,15.46,176,839.3,3.01,136.11,Power Failure,1
H,298.87,309.81,1600.9,46.1,37,281.5,2.123,138.13,No Failure,0
L,302.04,311.25,1411.5,49.85,192,988.5,3.322,158.46,No Failure,0
M,301.18,311.66,1346.4,51.35,76,406.2,2.687,137.11,No Failure,0
M,302.44,315.16,1581.1,37.59,57,320.6,2.165,139.0,No Failure,0
L,298.03,308.13,1381.7,44.39,161,527.5,2.741,146.4,No Failure,0
H,302.56,313.49,1539.4,42.09,55,255.0,1.977,142.71,No Failure,0
L,299.91,311.49,1640.7,25.27,102,292.4,2.401,143.65,No Failure,0
M,303.18,315.69,1404.1,47.45,220,1208.6,3.641,146.66,No Failure,0
L,300.01,310.25,1342.9,53.9,90,931.8,2.701,147.04,No Failure,0
L,295.91,307.16,1366.3,46.89,37,612.9,1.884,152.44,No Failure,0
M,301.7,310.91,1633.1,34.97,137,314.8,2.396,150.97,No Failure,0
M,299.11,309.14,1420.8,47.4,36,1058.3,1.473,170.66,No Failure,0
H,299.25,308.8,1424.2,52.98,201,1473.4,3.515,157.4,No Failure,0
H,297.09,305.21,1405.7,51.66,184,3349.4,4.269,149.05,No Failure,0
L,303.24,311.64,1398.8,50.27,108,1563.7,2.513,169.66,No Failure,0
L,298.96,309.39,1656.7,24.08,134,493.8,2.569,139.29,No Failure,0
L,303.15,313.6,1514.2,43.98,8,271.5,1.739,173.05,No Failure,0
L,299.14,308.1,1460.8,46.46,160,646.6,3.91,180.65,No Failure,0
L,298.14,309.7,1399.9,50.39,195,1469.3,3.136,160.35,No Failure,0
H,302.64,311.53,1361.0,45.16,225,492.1,3.736,148.14,No Failure,0
M,299.85,310.11,1321.5,55.52,180,149.4,3.796,161.61,No Failure,0
L,299.87,309.46,1618.7,21.72,72,947.0,1.915,164.65,No Failure,0
L,297.44,307.54,1456.8,45.58,126,520.3,2.84,138.67,No Failure,0
M,299.08,309.98,1305.2,44.79,80,308.2,2.657,159.56,No Failure,0
L,300.86,311.61,1483.5,49.03,150,1595.4,2.641,147.24,No Failure,0
L,297.4,308.11,1405.5,55.42,217,327.8,3.984,140.18,Overstrain Failure,1
L,298.92,309.5,1518.7,31.12,92,479.7,2.164,153.89,No Failure,0
L,299.16,307.89,1296.9,55.09,199,423.3,4.149,151.07,No Failure,0
L,300.13,311.27,1373.0,48.15,26,158.1,1.378,133.88,No Failure,0
M,302.96,311.9,1395.8,38.13,178,599.1,3.267,166.84,No Failure,0
L,299.4,309.29,1542.2,30.91,199,139.0,3.346,152.3,No Failure,0
M,298.62,308.27,1468.1,41.96,195,260.3,3.448,160.01,No Failure,0
M,305.49,315.84,1559.8,42.86,98,307.4,2.447,161.17,No Failure,0
H,299.13,308.65,1515.4,43.41,185,199.5,3.463,141.72,No Failure,0
L,299.62,309.46,1662.4,33.73,246,896.7,4.249,176.24,No Failure,0
L,299.28,310.9,1461.4,46.09,15,753.7,2.051,175.28,No Failure,0
L,299.45,308.15,1450.4,35.94,244,970.5,3.727,138.55,No Failure,0
L,300.16,310.15,1559.3,52.17,90,167.2,2.509,150.63,No Failure,0
L,301.84,310.73,1334.5,57.1,79,1279.6,2.387,152.58,No Failure,0
M,300.81,311.48,1425.9,31.87,26,1318.9,1.982,142.55,No Failure,0
L,302.15,311.43,1515.0,40.6,48,1422.1,1.894,145.7,No Failure,0
L,302.09,312.13,1279.1,49.72,128,688.1,2.686,179.01,No Failure,0
L,300.42,309.09,1470.3,42.76,189,650.5,3.55,144.43,No Failure,0
M,300.75,312.04,1565.4,26.47,181,966.1,3.2,173.53,No Failure,0
H,302.22,312.29,1477.9,48.65,191,1550.8,3.574,164.92,No Failure,0
M,297.78,307.92,1634.3,33.94,182,643.8,3.308,155.78,No Failure,0
M,305.0,315.83,1454.7,42.0,7,549.4,1.633,166.3,No Failure,0
M,298.97,307.72,1543.9,30.06,113,798.3,2.657,161.37,No Failure,0
M,299.3,308.68,1504.7,47.95,134,649.3,3.154,157.59,No Failure,0
L,297.58,307.75,1464.7,35.79,12,127.5,1.417,162.78,No Failure,0
M,297.64,305.87,1433.8,49.0,70,571.0,2.648,144.46,No Failure,0
M,301.95,310.29,1565.9,37.85,71,705.4,1.984,148.16,No Failure,0
L,304.54,313.72,1467.3,35.19,12,887.3,1.275,133.76,No Failure,0
M,298.87,307.72,1440.0,44.12,112,909.0,2.826,159.37,No Failure,0
L,300.69,310.35,1595.0,29.26,107,763.0,2.542,142.94,No Failure,0
M,300.44,310.96,1475.9,57.98,135,1147.9,3.541,132.73,No Failure,0
L,302.0,312.75,1376.3,41.86,33,2152.0,2.496,157.74,No Failure,0
M,304.44,316.25,1531.9,34.34,243,627.8,3.341,147.34,No Failure,0
H,303.04,313.02,1653.8,36.01,70,900.7,2.018,170.32,No Failure,0
L,299.52,309.68,1586.0,40.18,154,1681.9,3.155,161.1,No Failure,0
L,301.06,311.03,1395.5,49.96,141,620.3,3.691,167.24,No Failure,0
L,301.26,311.58,1565.1,31.05,1,724.8,1.287,149.59,No Failure,0
L,299.96,310.36,1570.9,36.31,61,120.6,1.618,154.28,No Failure,0
H,297.81,308.73,1547.2,39.5,174,547.3,2.976,162.07,No Failure,0
L,298.4,309.32,1500.6,55.42,90,825.4,2.722,120.87,No Failure,0
L,302.3,312.82,1521.9,49.99,82,785.8,2.711,131.61,No Failure,0
L,302.5,314.01,1248.4,55.9,177,657.2,4.323,149.74,No Failure,0
H,299.58,309.61,1354.0,40.31,199,493.2,3.374,130.26,No Failure,0
L,300.52,309.91,1336.4,54.33,201,813.0,4.03,140.86,Tool Wear Failure,1
M,302.39,311.95,1231.9,52.67,109,1502.2,3.229,157.62,No Failure,0
L,296.59,306.49,1562.4,46.97,114,510.9,2.68,154.82,No Failure,0
L,299.11,308.02,1303.2,47.77,168,277.2,3.909,158.75,No Failure,0
M,304.04,313.42,1520.6,34.05,147,1434.0,2.749,137.32,No Failure,0
L,300.6,309.46,1275.3,58.28,93,854.0,2.556,161.34,No Failure,0
M,297.74,308.09,1376.8,37.55,82,246.4,2.805,140.78,No Failure,0
L,300.23,310.59,1561.5,45.6,241,1050.8,4.079,157.38,No Failure,0
M,302.04,310.27,1394.0,46.77,221,1159.8,3.58,159.06,No Failure,0
M,294.91,304.25,1781.3,26.29,75,214.9,1.915,176.04,No Failure,0
M,300.35,312.18,1630.6,39.49,20,972.4,1.545,171.4,No Failure,0
L,299.26,309.88,1483.4,42.03,238,1307.6,3.824,159.14,Tool Wear Failure,1
M,296.72,307.17,1320.5,38.87,24,337.5,1.841,146.7,No Failure,0
H,300.16,309.5,1472.5,39.61,58,493.4,2.038,152.28,No Failure,0
L,299.73,310.01,1586.3,54.93,9,1439.0,2.576,155.08,Power Failure,1
L,299.95,309.94,1604.7,31.73,193,1249.3,3.226,143.26,No Failure,0
H,299.3,308.51,1586.4,27.31,25,579.9,1.52,158.6,No Failure,0
L,297.96,307.46,1491.9,34.14,79,987.0,2.686,159.81,No Failure,0
M,297.09,306.62,1520.3,47.44,157,504.8,3.662,159.79,No Failure,0
M,298.62,307.13,1465.9,48.42,13,1463.1,2.093,137.27,No Failure,0
L,301.72,310.39,1477.1,46.06,249,228.2,4.061,150.08,Overstrain Failure,1
M,300.47,310.27,1529.3,49.12,195,213.5,4.134,162.02,No Failure,0
M,299.86,309.01,1576.9,42.56,150,819.7,3.004,159.64,No Failure,0
L,297.92,307.62,1580.8,34.82,140,717.1,2.547,148.54,No Failure,0
H,299.25,307.65,1432.8,30.55,63,3387.0,1.831,149.84,No Failure,0
L,301.47,312.28,1512.6,27.38,147,930.3,3.027,145.51,No Failure,0
L,301.01,313.09,1462.7,37.73,204,289.6,3.485,157.53,No Failure,0
H,299.05,310.07,1433.6,47.88,125,463.4,3.037,130.72,No Failure,0
L,294.78,305.91,1616.0,42.37,88,382.1,2.202,138.84,No Failure,0
H,298.65,309.28,1682.9,40.23,73,349.4,2.551,143.45,No Failure,0
L,299.03,309.3,1619.7,29.45,148,832.6,2.617,156.98,No Failure,0
L,298.19,308.27,1343.2,65.79,223,579.6,4.05,167.75,Power Failure,1
L,299.17,308.26,1430.0,31.75,110,490.3,2.441,154.75,No Failure,0
M,301.63,312.32,1452.3,41.21,166,1777.6,2.862,136.07,No Failure,0
M,299.93,310.56,1370.0,50.03,127,753.0,2.763,147.66,No Failure,0
H,301.98,311.52,1439.3,40.42,122,30.9,2.537,138.99,No Failure,0
H,296.98,307.51,1616.7,31.93,26,1393.0,1.737,147.11,No Failure,0
M,299.39,308.7,1394.7,48.09,84,2745.1,2.358,139.06,No Failure,0
M,296.12,305.49,1436.6,26.6,232,302.9,3.712,145.73,No Failure,0
M,299.15,309.92,1436.5,57.42,220,1539.3,4.07,140.16,Overstrain Failure,1
H,297.91,308.34,1585.7,42.82,76,249.8,2.244,174.69,No Failure,0
M,302.56,312.33,1546.2,37.47,147,127.3,3.359,154.99,No Failure,0
H,300.82,310.47,1598.2,25.84,150,295.4,2.292,139.66,No Failure,0
L,302.03,312.2,1511.2,28.48,220,614.3,3.724,149.61,No Failure,0
L,299.14,307.31,1428.8,39.48,1,1073.3,1.229,171.23,No Failure,0
M,297.96,307.2,1445.0,58.93,76,373.8,2.464,160.5,No Failure,0
L,297.9,306.63,1414.0,42.33,114,401.0,2.626,148.16,No Failure,0
L,300.53,310.54,1653.4,43.47,129,663.4,2.86,143.39,No Failure,0
H,303.62,314.71,1554.6,43.86,191,564.3,3.54,154.06,No Failure,0
L,300.82,311.3,1341.4,63.64,85,1925.9,2.923,143.85,No Failure,0
L,299.25,308.74,1779.6,35.59,153,887.7,2.857,164.02,No Failure,0
L,299.62,308.92,1489.6,55.65,211,597.4,3.277,180.68,Overstrain Failure,1
L,299.94,309.18,1493.1,36.01,79,1584.5,2.059,152.41,No Failure,0
M,304.05,316.05,1464.2,32.96,125,1515.4,2.926,151.41,No Failure,0
H,302.47,312.54,1468.2,39.2,162,590.0,3.339,136.0,No Failure,0
H,300.52,310.72,1497.5,39.15,200,1563.9,3.727,168.85,No Failure,0
M,300.22,308.11,1386.8,45.62,198,1276.0,3.584,156.82,No Failure,0
M,300.6,309.42,1584.7,16.76,101,1159.7,2.255,129.52,Power Failure,1
L,300.99,310.94,1509.4,41.48,39,300.3,1.844,154.53,No Failure,0
H,299.17,308.68,1627.8,34.01,29,607.6,1.624,150.09,No Failure,0
L,298.31,308.44,1725.1,32.76,16,742.1,1.404,151.99,No Failure,0
L,302.06,312.18,1610.6,27.04,120,525.4,2.793,145.41,No Failure,0
H,300.04,310.64,1583.4,36.35,115,674.1,1.866,151.6,No Failure,0
H,301.9,310.03,1374.7,34.83,62,854.1,2.115,137.41,Heat Dissipation Failure,1
L,303.29,312.19,1611.4,35.73,109,128.7,2.603,151.49,No Failure,0
M,301.04,310.94,1540.3,23.61,172,676.7,3.015,160.07,No Failure,0
L,300.72,310.07,1519.6,40.98,11,1503.9,1.667,148.05,No Failure,0
L,306.4,316.09,1559.4,32.08,62,1625.5,2.394,141.8,No Failure,0
L,300.41,310.52,1609.0,23.65,169,133.1,2.937,167.46,No Failure,0
L,297.82,307.07,1410.3,34.52,60,1649.4,1.988,164.01,No Failure,0
M,299.44,309.63,1493.8,32.26,145,277.0,3.052,137.89,No Failure,0
L,303.1,313.65,1410.8,40.41,194,1104.5,3.033,145.4,No Failure,0
M,297.41,307.48,1491.5,34.38,78,833.3,2.011,150.76,No Failure,0
L,298.5,309.22,1722.4,25.5,25,2323.6,1.838,153.86,No Failure,0
H,302.21,310.04,1539.3,31.12,69,198.1,2.157,157.91,No Failure,0
M,299.46,308.87,1577.6,22.73,160,3535.2,2.397,146.78,No Failure,0
H,299.78,310.67,1467.5,51.37,72,1182.5,3.296,139.02,No Failure,0
L,302.15,311.28,1425.6,52.98,228,894.9,4.052,153.62,Overstrain Failure,1
M,298.57,307.57,1569.4,54.19,28,371.7,1.896,141.55,No Failure,0
H,297.06,306.94,1638.2,34.1,114,370.3,2.155,157.39,No Failure,0
L,297.22,307.2,1217.2,52.97,232,1563.1,4.548,156.95,Overstrain Failure,1
L,301.16,310.63,1539.9,44.07,184,883.4,3.203,171.83,No Failure,0
L,300.52,312.36,1627.5,31.78,15,136.5,1.432,166.4,No Failure,0
L,298.61,308.9,1699.6,33.71,70,633.6,2.236,158.63,No Failure,0
L,297.68,306.78,1495.9,38.28,10,1679.3,1.026,146.06,No Failure,0
L,299.46,308.02,1590.5,41.02,239,180.2,4.219,140.44,No Failure,0
L,302.23,312.64,1439.1,43.63,195,1083.6,3.316,163.33,No Failure,0
M,298.33,307.4,1526.3,39.98,62,1000.5,2.506,155.35,No Failure,0
L,298.67,310.83,1432.9,36.51,114,1436.1,2.719,140.95,No Failure,0
L,297.62,308.05,1268.1,53.52,111,732.0,3.287,152.27,No Failure,0
M,299.27,309.83,1587.4,38.86,202,389.3,3.622,148.47,No Failure,0
L,300.68,310.92,1514.0,38.29,26,1382.1,2.097,146.73,No Failure,0
L,304.23,315.35,1402.1,37.83,127,704.6,2.927,152.08,No Failure,0
L,300.44,308.04,1582.4,38.87,182,355.0,3.344,142.85,No Failure,0
L,299.89,308.69,1362.8,26.38,224,802.2,3.634,136.04,No Failure,0
L,301.73,312.76,1507.4,29.97,87,1751.7,1.343,172.78,No Failure,0
L,301.39,312.89,1168.0,64.46,87,82.6,2.761,147.94,No Failure,0
L,298.84,307.61,1740.0,23.5,161,564.6,3.199,157.6,No Failure,0
H,304.6,312.79,1439.2,42.72,146,759.5,2.695,131.71,No Failure,0
H,299.95,310.12,1479.7,43.43,227,1231.6,3.728,134.21,No Failure,0
L,300.47,310.96,1446.4,50.13,54,476.9,1.852,139.3,No Failure,0
L,301.1,311.25,1543.4,43.67,96,443.2,2.066,139.02,No Failure,0
L,300.69,310.63,1411.3,58.91,112,432.3,2.946,138.2,No Failure,0
H,303.05,311.2,1552.9,42.4,129,518.3,3.024,138.99,No Failure,0
H,298.82,308.45,1368.3,53.48,33,1122.7,2.077,159.69,No Failure,0
L,301.57,311.34,1493.6,50.4,38,480.6,1.771,141.31,No Failure,0
L,300.33,309.78,1317.7,55.42,124,487.2,2.753,124.15,No Failure,0
L,301.97,310.05,1461.8,40.25,21,247.2,1.483,151.6,No Failure,0
H,299.57,310.15,1329.9,43.98,114,351.6,2.688,144.32,No Failure,0
H,299.3,310.16,1680.4,36.31,40,889.1,1.598,168.37,No Failure,0
L,301.46,310.67,1397.8,41.6,6,910.5,1.978,149.24,No Failure,0
M,300.72,310.53,1609.8,42.15,104,654.3,2.425,165.21,No Failure,0
L,298.36,307.86,1714.5,19.23,22,665.3,1.215,147.05,Power Failure,1
M,302.69,312.2,1529.4,38.57,160,313.5,3.287,142.82,No Failure,0
H,301.47,311.96,1461.8,48.9,140,1088.2,2.524,157.16,No Failure,0
L,299.85,310.37,1512.1,26.5,37,557.5,2.111,135.13,No Failure,0
L,299.06,310.14,1723.4,30.14,179,868.9,3.398,163.52,No Failure,0
M,300.73,311.78,1375.0,51.56,73,1556.8,2.758,145.4,No Failure,0
L,301.32,311.15,1483.7,53.43,165,1054.5,3.253,131.35,No Failure,0
H,296.81,309.65,1500.8,33.79,236,815.4,3.534,156.22,No Failure,0
L,300.75,312.3,1357.3,41.74,180,689.1,3.209,147.45,No Failure,0
H,301.31,310.65,1684.8,39.22,75,468.2,2.175,135.54,No Failure,0
L,295.3,305.42,1351.5,51.77,119,467.1,3.363,154.88,No Failure,0
L,300.39,308.41,1584.2,34.67,75,395.5,1.616,144.0,No Failure,0
L,301.39,311.42,1257.8,36.21,85,1423.1,2.723,158.52,No Failure,0
L,301.16,312.84,1386.4,53.41,220,326.9,3.962,148.36,Overstrain Failure,1
L,301.6,314.39,1634.6,29.97,171,507.8,3.39,155.44,No Failure,0
M,299.34,309.22,1552.7,35.02,136,713.6,2.934,146.52,No Failure,0
L,297.92,308.26,1480.5,41.33,67,2170.6,2.447,131.79,No Failure,0
L,296.4,307.01,1359.1,55.24,130,233.3,3.449,160.35,No Failure,0
L,302.18,314.16,1673.8,28.07,157,251.6,2.854,141.04,No Failure,0
L,301.41,310.42,1440.4,32.89,177,1377.4,2.901,125.88,No Failure,0
H,302.34,314.99,1431.3,45.93,22,973.1,1.625,145.14,No Failure,0
H,298.55,308.23,1569.4,47.47,216,810.7,4.157,141.76,No Failure,0
L,301.61,310.44,1349.6,42.12,134,1179.6,3.404,160.8,No Failure,0
M,296.99,306.68,1499.8,38.83,88,332.8,2.197,142.06,No Failure,0
M,298.26,307.45,1390.3,41.3,179,1189.6,3.709,148.59,No Failure,0
H,300.25,310.67,1647.7,24.93,137,967.9,2.918,156.52,No Failure,0
L,301.33,309.67,1494.9,41.01,79,516.3,1.917,150.62,No Failure,0
L,303.36,313.5,1296.5,54.82,228,696.0,4.415,162.15,Overstrain Failure,1
L,299.52,310.18,1607.8,26.8,229,319.2,3.407,162.64,No Failure,0
H,298.27,309.75,1568.6,32.16,227,1131.3,4.129,138.78,No Failure,0
M,298.17,308.85,1476.9,36.03,18,247.2,1.737,154.35,No Failure,0
L,298.62,310.05,1489.2,36.66,229,266.7,4.538,169.49,No Failure,0
L,304.44,313.84,1294.4,58.41,66,486.9,2.587,139.74,No Failure,0
M,301.51,311.91,1369.3,30.68,86,76.9,2.057,136.2,No Failure,0
H,302.23,310.0,1674.0,28.68,169,724.3,3.194,158.23,No Failure,0
L,299.52,309.41,1545.8,47.71,119,850.9,3.148,140.94,No Failure,0
M,300.0,310.38,1394.2,33.53,206,1549.2,3.675,173.85,No Failure,0
L,301.4,311.88,1545.7,47.88,166,564.4,3.278,145.85,No Failure,0
L,298.99,307.41,1551.9,38.03,28,775.8,2.048,139.01,No Failure,0
M,299.42,309.03,1364.1,44.59,35,688.3,1.664,143.63,No Failure,0
M,298.65,308.4,1606.6,24.32,24,1294.9,0.82,167.18,No Failure,0
H,299.11,308.68,1400.0,44.56,82,2049.8,2.595,134.66,No Failure,0
L,300.1,310.82,1565.7,42.18,116,797.1,3.449,145.83,No Failure,0
L,298.36,308.14,1437.8,37.45,220,557.7,3.909,146.92,No Failure,0
L,300.57,310.67,1789.7,27.67,86,822.7,1.957,119.27,No Failure,0
L,300.57,310.08,1586.9,42.17,24,681.1,1.763,144.21,No Failure,0
L,299.64,310.71,1331.8,47.24,137,256.1,3.092,147.71,No Failure,0
L,298.35,309.48,1690.0,34.69,104,477.0,2.238,139.58,No Failure,0
L,300.21,309.9,1606.6,34.89,210,943.3,3.277,158.68,No Failure,0
L,298.99,311.84,1422.9,47.94,8,1225.4,1.928,159.52,No Failure,0
L,300.09,309.33,1424.0,57.1,72,2321.7,2.768,151.68,No Failure,0
M,302.2,313.2,1508.0,49.4,174,188.0,3.225,136.07,No Failure,0
L,297.49,306.54,1413.4,42.29,2,945.4,1.229,139.15,No Failure,0
M,304.35,315.12,1594.6,37.57,140,212.9,2.86,162.9,No Failure,0
H,299.85,310.55,1463.3,39.72,167,1867.5,3.108,177.85,No Failure,0
M,300.82,309.81,1679.3,26.75,8,632.1,1.577,161.13,No Failure,0
L,298.49,308.36,1500.1,38.46,140,1092.2,2.714,155.59,No Failure,0
L,302.28,314.15,1319.7,51.2,232,141.4,4.21,138.27,Overstrain Failure,1
M,299.75,308.93,1553.5,40.4,128,885.9,2.979,151.15,No Failure,0
M,299.21,309.61,1516.0,33.75,43,1588.4,2.11,134.3,No Failure,0
L,298.85,309.18,1571.3,32.82,196,1353.6,3.36,156.73,No Failure,0
L,299.46,309.42,1539.3,39.68,14,779.5,1.495,145.49,No Failure,0
M,300.84,309.11,1731.0,27.65,212,353.1,3.351,135.77,No Failure,0
L,300.35,311.17,1533.5,30.91,238,1015.7,3.708,144.54,No Failure,0
M,299.92,309.93,1301.0,55.33,36,864.6,2.83,154.7,No Failure,0
L,298.58,309.68,1731.0,29.64,68,1524.3,1.881,152.36,No Failure,0
L,298.46,308.69,1564.4,31.98,208,350.8,4.054,150.58,No Failure,0
H,299.08,309.14,1427.6,42.91,185,920.2,3.489,153.95,No Failure,0
L,300.92,311.29,1567.9,35.58,135,1099.7,2.708,136.86,No Failure,0
M,301.32,310.34,1462.0,40.89,168,140.3,3.063,137.75,No Failure,0
L,301.59,313.15,1406.9,48.63,217,484.9,3.585,139.28,No Failure,0
L,300.0,309.62,1855.4,24.53,178,1061.4,2.981,133.9,No Failure,0
H,300.77,310.4,1350.7,47.54,141,406.7,3.106,149.84,No Failure,0
L,299.66,310.96,1417.2,34.18,96,1564.9,2.412,132.08,No Failure,0
L,296.52,306.76,1633.2,37.14,223,1650.8,4.4,152.64,No Failure,0
H,299.57,309.33,1312.1,59.22,143,606.3,3.794,130.98,No Failure,0
M,299.25,309.66,1640.9,25.97,208,92.1,3.391,158.67,No Failure,0
M,297.92,308.55,1510.2,45.91,214,621.2,3.7,152.99,No Failure,0
L,298.87,308.75,1252.3,51.28,81,513.8,2.176,131.72,No Failure,0
L,300.27,311.19,1657.3,33.16,185,2092.1,3.356,155.47,No Failure,0
M,297.73,306.46,1502.9,33.32,160,414.8,3.327,148.55,No Failure,0
L,298.58,308.84,1700.4,36.31,57,550.3,2.452,163.53,No Failure,0
L,303.1,313.9,1483.5,33.11,142,580.5,2.678,148.36,No Failure,0
M,296.79,307.42,1635.6,40.66,238,587.6,3.55,129.85,No Failure,0
L,299.63,307.39,1585.8,48.93,133,291.3,3.075,144.61,No Failure,0
L,297.67,307.54,1485.0,36.37,172,142.9,3.355,147.6,No Failure,0
L,298.5,307.28,1408.6,49.29,27,431.4,1.92,143.55,No Failure,0
L,299.6,310.89,1359.7,54.01,97,830.9,2.955,156.23,No Failure,0
M,298.02,307.63,1602.3,44.31,5,1347.8,1.665,162.21,No Failure,0
H,301.15,312.32,1474.1,45.25,91,545.8,2.625,155.67,No Failure,0
L,302.7,311.49,1595.5,34.06,85,637.0,2.366,137.67,No Failure,0
L,301.68,312.07,1696.9,13.77,47,386.4,1.487,154.18,Power Failure,1
M,302.05,312.06,1495.6,45.86,124,924.9,2.536,149.02,No Failure,0
L,297.24,310.0,1484.6,47.96,126,841.8,3.346,140.51,No Failure,0
L,299.51,310.69,1426.9,42.42,138,1559.2,2.814,167.23,No Failure,0
H,300.93,312.05,1586.7,49.1,99,118.0,2.035,150.95,No Failure,0
M,301.74,313.77,1525.5,34.52,129,807.8,2.706,140.33,No Failure,0
L,303.51,313.79,1551.2,45.19,144,1204.2,3.213,148.42,No Failure,0
H,302.14,312.04,1268.7,54.72,36,584.8,2.495,152.59,No Failure,0
L,301.79,311.58,1508.3,46.66,120,208.7,2.951,170.03,No Failure,0
H,305.27,315.6,1488.4,53.43,204,494.7,3.888,156.2,No Failure,0
M,300.19,307.42,1416.0,53.49,176,2371.7,3.631,142.17,No Failure,0
M,299.42,309.42,1694.5,27.79,179,1317.1,2.89,157.94,No Failure,0
H,300.35,310.58,1378.8,47.19,73,780.6,2.327,151.74,No Failure,0
M,298.17,308.01,1593.1,33.68,215,655.7,3.843,131.29,No Failure,0
L,300.14,308.6,1451.7,28.93,122,363.1,2.403,133.88,No Failure,0
L,296.55,306.4,1536.2,37.14,220,786.3,3.742,140.47,No Failure,0
M,298.94,307.41,1288.3,57.54,39,1600.8,2.17,138.08,Heat Dissipation Failure,1
M,299.77,311.54,1537.3,34.56,208,698.9,3.339,136.88,No Failure,0
L,301.9,311.64,1764.8,22.42,74,1606.9,1.89,155.41,No Failure,0
M,302.22,310.16,1772.0,25.55,166,2780.5,2.878,161.32,No Failure,0
M,298.07,307.87,1346.3,44.78,4,440.2,1.651,134.44,No Failure,0
L,304.15,315.05,1672.8,32.41,110,452.3,2.589,148.25,No Failure,0
L,300.3,310.47,1789.4,19.57,194,312.4,2.517,164.39,No Failure,0
L,300.48,309.57,1641.6,25.95,158,472.8,2.731,160.53,No Failure,0
L,296.76,306.09,1608.9,41.67,77,437.8,2.527,146.17,No Failure,0
L,298.76,308.47,1400.3,47.79,61,478.8,2.742,144.2,No Failure,0
L,302.1,311.66,1489.4,35.54,57,152.2,1.678,168.2,No Failure,0
L,300.34,309.08,1402.2,46.49,230,544.8,3.659,166.48,No Failure,0
L,300.22,310.15,1491.1,49.15,75,1600.8,2.555,168.02,No Failure,0
M,300.45,309.12,1553.9,32.16,158,933.0,3.285,147.42,No Failure,0
L,297.11,308.06,1445.3,38.79,2,524.8,1.324,147.34,No Failure,0
H,299.81,310.88,1487.9,34.0,149,977.9,2.383,136.71,No Failure,0
H,302.82,311.81,1457.0,45.39,162,1105.2,3.355,153.11,No Failure,0
M,302.17,311.46,1472.6,33.88,145,519.5,2.626,144.86,No Failure,0
H,299.75,309.33,1657.2,27.87,208,1053.7,3.868,150.04,No Failure,0
H,303.13,313.1,1603.4,40.53,170,37.6,3.231,122.31,No Failure,0
L,297.48,307.74,1498.8,51.1,52,1902.1,1.947,145.05,No Failure,0
M,298.06,308.52,1721.2,45.11,171,819.4,3.1,165.85,No Failure,0
L,303.73,314.17,1456.4,50.07,59,1190.6,2.39,151.87,No Failure,0
M,301.16,312.71,1579.0,49.19,11,1250.3,1.748,117.0,No Failure,0
L,299.42,309.48,1513.2,40.42,232,3453.1,3.913,158.18,No Failure,0
L,299.89,308.59,1522.7,34.03,106,2834.8,3.371,165.05,No Failure,0
L,298.39,306.78,1580.3,31.3,108,538.4,2.146,131.72,No Failure,0
H,300.55,312.19,1641.9,24.13,243,960.7,3.893,152.76,No Failure,0
L,300.39,310.9,1393.7,51.9,151,1391.0,3.699,146.38,No Failure,0
L,300.04,310.25,1429.0,36.69,189,1068.7,3.736,155.82,No Failure,0
L,297.68,308.13,1548.2,22.95,219,224.0,3.101,158.38,No Failure,0
L,300.53,310.69,1503.2,52.34,47,730.6,2.302,147.98,No Failure,0
H,298.94,309.37,1567.5,40.94,38,1843.9,1.521,150.83,No Failure,0
M,298.03,307.66,1582.7,49.68,106,534.0,3.044,171.62,No Failure,0
L,302.53,313.59,1485.6,37.38,18,692.2,1.543,198.54,No Failure,0
L,304.34,313.81,1519.7,32.07,115,505.0,2.644,159.63,No Failure,0
L,303.89,312.98,1360.9,44.46,135,936.7,3.404,153.63,No Failure,0
L,301.3,309.61,1552.7,45.29,244,1095.6,4.172,143.42,Overstrain Failure,1
H,299.47,309.23,1442.1,37.2,42,248.4,1.985,149.45,No Failure,0
M,299.86,311.13,1392.1,53.14,237,919.8,4.121,151.16,Overstrain Failure,1
L,300.81,310.35,1452.6,49.45,60,317.6,2.721,152.16,No Failure,0
M,299.16,307.78,1314.1,45.65,19,198.8,1.693,124.28,No Failure,0
L,302.64,312.92,1658.7,28.9,211,1497.3,3.573,143.19,No Failure,0
M,295.93,305.28,1691.0,27.49,66,1198.2,2.14,147.47,No Failure,0
M,299.41,310.96,1429.0,51.99,74,448.1,2.765,146.16,No Failure,0
